구분,유저,챗봇
배경/직장/불만,양아치 같은 놈들 그냥 두는 윗사람들도 전부 마음에 안 들어서 그랬어.,제가 다 속이 시원하네요.
배경/직장/불만,전에 회사 분들은 굉장히 밝고 좋았는데 여긴 일만 하고 일 할 때는 서로 말도 안 하고.,저는 이해해요. 사람마다 다르니까요.
배경/직장/불만/업무,문제는 취업하고 나서 일을 하기 시작하니까 업무가 내가 생각했던 거랑 너무 다르더라고.,업무와 흥미가 맞지 않아 고민이 많으시군요. 천천히 이직을 준비해보는 건 어때요?
배경/직장/불만/업무,잡일은 너무 많고… 일에 만족감이 하나도 없는 거야.,맞지 않는 일을 하시면 정말 괴로우시겠어요. 
배경/직장/불만/업무,나는 좀 더 가치 있고 숭고한 일일 거라고 생각했었거든?,사람마다 생각이 다른법이죠. 그래서요?
배경/직장/불만/업무,좀 더 나은 일이 하고 싶어요.,조금 더 새로운 일을 찾아 보는건 어떨까요?
배경/직장/불만/업무,제 능력을 좀 더 빛낼 수 있고… 더 가치 있는 일이 하고 싶어요.,마음에 맞는 일을 찾기 바랄게요.
배경/직장/스트레스,안 먹어야지 해도 회사에서 스트레스 받으면 어떻게 할 수가 없어요. ,직장 스트레스가 많으시군요. 그럴 땐 정말 멀리 도망가버리고 싶죠.
배경/직장/스트레스,그때 스트레스가 좀 심했거든요. 그 회사가 워낙 일이 빡빡해서.,사소한 것들이 쌓여서 화가 되는 것 같아요. 무슨 일 있으셨어요?
배경/직장/스트레스,직장에서 스트레스 받아가며 아등바등 살 필요가 있나 싶더라고요.,당신이 걱정스러워요. 휴식은 제대로 취하고 계신가요?
배경/직장/스트레스,"우리 팀은 10명 정도인데, 일 잘하는 사람들이 없어서 그것도 스트레스야.",속상하겠어요. 열심히는 하던가요?
배경/직장/스트레스,"한국에서 애들한테 영어를 가르쳤는데, 너무 스트레스를 받았어.",애들이 말을 듣지 않았나요?
배경/직장/스트레스,걔네 엄마가 와서 오늘 우리 애는 어땠냐고 하면 내가 할 말이 없다니깐요.,그래도 좋은 말을 해주세요.
배경/직장/스트레스,직장 다니면서 스트레스가 많았어.,직장 스트레스가 많으시군요. 그럴 땐 정말 멀리 도망가버리고 싶죠.
배경/직장/스트레스,문제는 엄마들이야. 학부모들이 얼마나 말이 많은지…스트레스가 장난이 아니야.,극성이네요. 제가 다 화나요.
배경/직장/스트레스,회사에서 짜증나는 일이 많았어.,직장 스트레스가 많으시군요. 그럴 땐 정말 멀리 도망가버리고 싶죠.
배경/직장/스트레스,요즘 회사에서 스트레스가 많아요.,직장 스트레스가 많으시군요. 그럴 땐 정말 멀리 도망가버리고 싶죠.
배경/직장/스트레스,요새 회사에서 신경 쓰이는 일이 많았거든요.,구체적으로 무슨 일이 있었나요?
배경/직장/스트레스,새로운 신입사원이 들어왔는데 일을 못 하기도 하고 사고를 많이 쳐서 스트레스를 받았어요.,한번 이야기 나눠보는건 어때요?
배경/직장/양호,직장생활은 별로 문제될게 없어. 나름대로 성공한 삶인 것 같아.,다행이에요. 큰 스트레스가 없으시다니 기뻐요.
배경/직장/양호,지금 5년째 근무 중이야. 일은 그럭저럭 할만해.,직장 생활에는 큰 문제가 없으시군요. 정말 다행입니다.
배경/직장/양호,회계 일도 나랑 잘 맞는 것 같고… 딱히 재밌는건 아니지만..뭐.. 일이 재밌으려고 하는 것도 아니잖아요?,맞아요. 하고 싶은 일을 생각해 봐요.
배경/직장/양호,일 자체는 스트레스가 없는것 같아.,정말 다행이네요. 스트레스 받으면 너무 힘드니까요.
배경/직장/양호,결국 영업 일이다 보니 스트레스 받기도 했지만 사람들과 대화하는 일을 좋아해서 적성에 맞다고 생각했어요.,지금은 어떤가요?
배경/직장/없음/흥미,내가 지금 하는 일이 진짜 단순한 일이야. ,"하루에 많은 시간을 업무에 보내는데, 일이 지겨우시다니 정말 힘들겠어요."
배경/직장/없음/흥미,"계속 모니터 화면 보고 확인하고, 체크하고… ",일이 반복되면 정말 힘든 것 같아요. 기운 내세요.
배경/직장/없음/흥미,회사 일이 너무 지루해요.,따로 취미는 없나요?
배경/직장/없음/흥미,다른 사람들은 이 업무를 5년에서 10년은 하는데… 요즘 들어서는 경쟁력도 없어 보인다고 해야 하나. ,언젠가 빛 볼 날도 있을거예요.
배경/직장/없음/흥미,업무가 너무 단순해서 지루해. 선배들 보니까 5~10년 계속 같은 업무야. ,언젠가 빛 볼 날도 있을거예요.
배경/직장/없음/흥미,이런 일이 경쟁력이 있을까 싶어. 업무에 완전 흥미를 잃었어.,일이 반복되면 정말 힘든 것 같아요. 기운 내세요.
배경/직장/이직,지금 회사로 옮긴 지 2년 정도?,"아, 그래요. 직장을 옮기셨군요. "
배경/직장/이직,"연봉도 조금 더 오르고, 대우도 괜찮은 거 같아서 지금 회사로 옮겼어요.",새로운 직장은 마음에 드시나요?
배경/직장/이직,"회사를 옮기면서 직급도 올라서, 지금은 과장이에요.",그렇군요. 새로운 환경이라 적응이 필요하겠어요.
배경/직장/이직,제가 몇 개월 전에 회사를 옮겼거든요.,새로운 직장은 마음에 드시나요?
배경/직장/이직,최근에 이직을 했어요.,새로운 직장은 마음에 드시나요?
배경/직장/이직,직장도 일산으로 옮겼고 잘 지낼 수 있을 거라 생각했는데.,생각대로 안 됐나봐요.
배경/직장/퇴사,더 이상 일이 안 될 정도여서… 결국 퇴사를 하고 회사에서 나왔어요.,일을 그만두셨군요. 가끔 휴식이 필요할 때가 있죠.
배경/직장/퇴사,결국 내가 먼저 관두겠다고 말했어.,더 좋은 직장을 구할 수 있을 거예요. 너무 낙심 마세요.
배경/직장/퇴사,더 이상 여기 있어도 아무 도움이 안 되겠다 싶어서 지난주 월요일에 사표를 냈어.,충분히 쉬고 나면 더 멋진 직장을 가질 수 있을 거예요. 
배경/직장/퇴사,심하게 싸운 뒤로는 부동산도 안 나갔어요.,지금은 쉬고 계신가요?
배경/직장/퇴사,그래서 이 핑계 저 핑계 다 대고 직장을 그만뒀어.,지금은 무슨 일을 하시나요?
배경/직장/퇴사,동료들 눈치도 보이고.. 결국 회사를 그만뒀어.,사람관계가 제일 힘들죠.
배경/직장/퇴사,겁은 났지만.. 그래도 이렇게 살면 안될 것 같아서 퇴사했어요.,맞아요. 용기를 내셨네요.
배경/직장/퇴사,결국 회사도 관두게 됐어.,지금은 다른 회사를 다니고 있나요?
배경/직장/퇴사,한 달 전에 회사도 그만뒀어.,지금은 다른 회사를 다니고 있나요?
배경/직장/퇴사,출산할 때 몸이 안 좋아서 고생을 많이 하기도 해서 결국 일을 그만뒀어요.,휴식이 필요해 보여요.
배경/직장/퇴사,일을 계속 하는 것도 민폐라는 생각이 들고… 그래서 사표를 냈어.,충분히 쉬고 나면 더 멋진 직장을 가질 수 있을 거예요. 
배경/직장/퇴사,올초에는 택배 회사를 다녔었고… 너무 힘들어서 한 달 만에 관뒀어.,조금 더 맞는 일을 찾아봐요.
배경/직장/퇴사,그래서 같이 휴가처럼 지내다 오려고 했는데 어쩌다 보니 회사를 관뒀거든요.,그래서 어떻게 되었나요?
배경/직장/퇴사,아무튼 그렇게 살다가 얼마 전에는 회사도 관뒀어요.,충분히 쉬고 나면 더 멋진 직장을 가질 수 있을 거예요. 
배경/직장/퇴사,회사 관두고 나면 좀 괜찮아질 줄 알았거든요.,아직 지쳐있어서 그래요. 조금 더 휴식이 필요해 보여요.
배경/직장/퇴사,그래서 결국 지난 주에 퇴사했어요.,일을 그만두셨군요. 가끔 휴식이 필요할 때가 있죠.
배경/직장/퇴사,근데 쌍둥이 동생은 일을 관둘 수가 없어서 결국 제가 관뒀어요.,저런.. 동생은 아직도 일을 하고 있나요?
배경/직장/퇴사,3년 전에 다니던 회사를 관뒀거든요.,일을 그만두셨군요. 가끔 휴식이 필요할 때가 있죠.
배경/직장/퇴사,어쩔 수 없이 회사는 그만 두었어요...,일을 그만두셨군요. 가끔 휴식이 필요할 때가 있죠.
배경/직장/퇴사,오랜고민 끝에 회사를 관두기로 했어요.,일을 그만두셨군요. 가끔 휴식이 필요할 때가 있죠.
배경/직장/퇴사,오래다니던 회사를 안가게 되니까 맘이 이상해요.,새로운 취미를 찾아보는 건 어때요?
배경/직장/휴직,일단 부장 간호사님께 말씀 드리고 쉬는 중이에요.,몸이 안 좋을 때는 쉬는 게 최고죠.
배경/직장/휴직,아직 육아휴직중이에요.,일을 쉬는 게 건강에 가장 좋으니까요. 잘 선택하셨어요.
배경/직장/휴직,"일도 다 싫고, 당장이라도 때려치고 싶은데, 팀장이 계속 잡아서 일단 휴직계를 낸 상태예요.",건강이 우선이잖아요. 
배경/직장/휴직,회사 안 나간지 일주일 정도 됐어.,지금은 어떤가요? 많이 괜찮아졌나요?
배경/직장/휴직,몸이 너무 안 좋아서 사측에 말을 해서 두 달 간 쉬었어.,잘했어요. 지금은 괜찮나요?
배경/직장/휴직,심각한 상태인 거 같아서 일단 회사는 휴직계를 내서 쉬고 있어요.,상태가 많이 호전됐나요?
배경/진로,담임 선생님이 그냥 인문계 가는 것보다 상고로 가는 게 취직이 빠르다고 해서 상고로 갔어.,꿈을 가진 사람은 정말 멋진 것 같아요.
배경/진로,"회사에서 회계 쪽으로 일을 했는데, 일을 하다 보니까 대학을 안 가면 승진이 안 되겠더라.",미래를 위해 고민하는 모습이 보기 좋아요.
배경/진로,요즘 공무원이 최고잖아. 연금도 나오고.,그러셨군요. 딱 맞는 직업을 찾을 수 있을 거예요.
배경/진로,내가 잘 하는 게 뭐가 있을까 하다가… 미용사가 딱 좋겠다 싶었어.,"미용이라니, 너무 멋져요."
배경/진로,사실 제 꿈은 디자이너였거든요.,그러다가 꿈이 바뀌었군요?
배경/진로,그리고 그게 나중에 경쟁력이 있을 지도 모르겠어요.,그래도 하고 싶은 일을 하는게 좋지 않을까요?
배경/진로,고등학교 졸업하고 나서 매일 기타만 쳤어요.,기타치는 사람이 그렇게 멋있더라구요.
배경/진로,내 꿈은 음악가야.,악기를 다루시나요?
배경/진로,진로가 바뀔 거라고 생각하지 않았기 때문에 저한테도 커다란 문제였어요.,고민이 많았네요. 잘 해결 된건가요?
배경/진로,그래서 나는 꼭 커서 미용사가 돼야지 했어요.,"미용이라니, 너무 멋져요."
배경/진로,예전부터 부모님이랑 제가 원하는 진로가 달랐어요.,부모님은 안정적인 직장을 원하죠.
배경/진로,근데 저는 의사 그런 거에 관심 없어요. 되고 싶지 않아요.,하고 싶은 일은 무엇이었나요?
배경/진로,나는 미대를 가고 싶었는데 아빠는 내가 경영학과를 가길 바랐어.,의견이 달랐네요. 그래서 어디로 진학하셨나요?
배경/진로,나 학원이나 보내줘봤어? 학교 선생님들도 나 보고 미대 가라고 난린데.,어떤 사정이 있지 않았을까요?
배경/취업,"하고 싶은 것도 딱히 없고, 빨리 취직하고 싶어서 상고에 갔어요.",그러셨군요. 돈을 버는 건 정말 멋진 일이죠.
배경/취업,나도 빨리 돈을 벌고 싶기도 했고… 상고 졸업하고 바로 취업을 했어.,그러셨군요. 노동은 정말 보람찬 거 같아요.
배경/취업,진짜 난 안 되나 보다… 싶을 때 지금 회사에서 연락이 왔어요. ,그러셨군요. 출근은 어떠셨나요?
배경/취업,"다행히 조건도 좋고… 이러려고 여태 고생했나 보다, 하면서 기쁜 마음으로 출근을 시작했어요.",축하드려요. 좋은 결과로 이어졌네요.
배경/취업,하는 수 없이 내가 마트에 나가서 일을 하고 있어.,고생이 많네요. 일이 고되지는 않나요?
배경/취업,졸업하고 바로 경리로 취직을 했어.,바로 하기 힘들었을텐데 대단하시네요.
배경/취업,처음에는 돈을 버니까 좋더라?,돈은 항상 옳아요.
배경/취업,"이력서를 쓰려고 하는데, 하루종일 한 줄도 못 썼어요.",자신의 경험과 관련되어 써보는건 어때요?
배경/취업,전문대 졸업하고 바로 취업했습니다.,어디로 취업하셨나요?
배경/취업,나라도 좀 보태야겠다 싶어서 집 근처 마트에 취직해서 일한 지 2년이 다 되어가네요.,그게 효도죠. 너무 멋져요.
배경/취업,결국엔 자기 가게에 나와서 일을 하라고 하더라.,그래도 도와주는 사람이 있었네요.
배경/취업,집에만 있으니 우울하기도 하고 남편 도와줄 겸해서 가게에 취직을 했어요.,일을 할만하던가요?
배경/취업,전문대 졸업하고 바로 토목회사에 취업했거든.,토목회사에서는 어떤 일을 하나요?
배경/취업,제가 고등학교 졸업하고 나서 바로 취업을 했어요.,어린 나이에 일찍 사회생활을 시작하셨네요.
배경/취업,내가 좋은 대학을 가서 취업을 잘하면 좋을텐데…,할 수 있어요. 응원할게요.
배경/취업,제가 대학 졸업하고 바로 취업을 했거든요.,어린 나이에 대단하시네요.
배경/취업,제가 대학 졸업하고 바로 공무원이 됐어요.,어린 나이에 대단하시네요.
배경/취업,그리고 몇몇 출판사에 이력서를 넣었어.,좋은 결과로 이어지기를 바랄게요.
배경/취업,한곳에서 합격했다고 연락이 와서 단번에 다니겠다고 소리질렀지.,축하드려요. 좋은 결과로 이어졌네요.
배경/취업/준비,"대학 졸업하고, 1년 동안 지겹게 놀았어. ",요즘 정말 취직하기가 어렵죠… 
배경/취업/준비,"다른 애들은 다 취업했는데, 저만 아직 취준생이에요.",곧 좋은 소식이 들릴 거예요. 희망을 놓지 마세요.
배경/취업/준비,대학 졸업하고 3년 째 취업 준비 중이야.,차근차근 준비하다 보면 원하던 회사에서 연락이 올 거예요. 저는 그렇게 믿어요.
배경/취업/준비,대학 졸업하고 계속 취업 준비 중이야. 취업이 쉽지 않네. ,차근차근 준비하다 보면 원하던 회사에서 연락이 올 거예요. 저는 그렇게 믿어요.
배경/취업/준비,이젠 취업을 해야 할 것 같아요. 근데 어떤 것부터 해야 할 지 모르겠어요.,자격증에 도전하는건 어떨까요?
배경/취업/준비,지금이 아니면 안 된다는 마음으로 독하게 취직을 준비했어요.,그 마음가짐이 성공으로 이끌었네요.
배경/취업/준비,고등학교 졸업하자마자 취업준비를 했어요.,어린 나이에 많은걸 포기하고 사회에 나왔네요.
배경/취업/준비,제대로 취업준비를 해서 돈을 벌어야겠다고 생각했어요.,제대로 한번 해 봐요. 좋은 결과가 있을거예요.
배경/취업/준비,아버지 일때문에 돈을 벌기 위해 취업준비를 죽을듯이 했어.,그 마음가짐이면 뭐든 할 수 있어요.
배경/취업/힘듦,취업도 힘들고… ,좋은 일자리 찾기가 정말 힘든 것 같아요.
배경/취업/힘듦,결국 요양원에 모시고 다시 일을 구하고 있는데 생각처럼 일이 안 잡혀.,결국 당신에게 맞는 자리가 생길 거예요.
배경/취업/힘듦,영문과 졸업했는데 취업하기가 너무 힘들어.,지금은 조금 힘들더라도 조금만 버텨보세요. 좋은 소식이 들릴 거예요.
배경/취업/힘듦,그래서 새 직장 알아보는 일이 더 힘들었던 것 같아요.,주변에 도움 줄 사람은 없었나요?
배경/취업/힘듦,우리집 먹고 살리려면 일을 해야되는데 취직하기가 어려웠어요.,작은거부터 천천히 시작해봐요.
배경/친구,아픈 데 없이 건강한 애였는데… ,친구 문제로 걱정이 많으시군요. 저한테 계속 말씀해주세요.
배경/친구,"어제는 우연하게 동네 친구를 만났는데, 너 아직 호주에 있는 거 아니었냐고 묻는 거야.",친구 문제는 항상 어렵죠. 털어 놓으면 괜찮아질 거예요.
배경/친구,항상 붙어다니는 친구가 3명 있거든.,그렇군요. 계속 이야기를 하다 보면 해결 방법이 보일 거예요.
배경/친구,"지금 만나는 친구들은 딱 두 명 밖에 없어요. 한 명은 고등학교 때, 한 명은 대학교 때…",어릴 때 친구가 정말 오래가는거 같아요.
배경/친구,내 친구 중에 완전 정석으로 행동하는 범생이같은 애가 있어.,항상 올곶은 사람이군요?
배경/친구,솔직히 친구가 꼭 있어야 한다고 생각하지 않거든요.,저도 그렇게 생각해요. 하지만 때로는 외로울 수 있어요.
배경/친구,걔네가 나한테 뭔 짓을 하는 게 아닌데도 그래.,괜히 겁먹고 그런건가요?
배경/친구,그 후로 저랑 같이 다니는 애들이 저를 없는 사람 취급하는 거예요.,너무하네요. 나도 엄연한 사람인데.
배경/친구,그러고 나서 다시 괜찮아졌었는데 요즘 자꾸 걔 생각이 나는 거야.,그냥 한번 만나서 해결하는건 어때요?
배경/친구,그리고 미국에서 되게 친하게 지낸 친구가 있어.,지금도 연락하고 지내요?
배경/친구,내가 속마음을 털어 놓을 수 있는 친구가 걔였는데 만날 수가 없지.,안 좋은 일이 있었나 봐요.
배경/친구,걔네랑 친구가 돼서 같이 다니는 게 처음에는 좋았어요.,그래서요? 혹시 그 후에 무슨 일이 있었나요?
배경/친구,근데 거기에… 저랑 제일 친한 친구가 앉아 있는 거예요.,마음이 아프네요. 믿었던 친구인데 속상하겠어요.
배경/친구,저는 걔랑 정말 친했다고 생각했는데 걔는 그게 아니었다고 하니까…,친구와의 관계가 그렇게 되셔서 고민이 많으시군요. 좀 더 얘기해주시겠어요?
배경/친구,친구들이랑도 관계를 이런 상태로 계속 지속해야 하나 싶고.,친구와의 관계가 그렇게 되셔서 고민이 많으시군요. 좀 더 얘기해주시겠어요?
배경/친구,그리고 나서 한 2주 후에 범인을 잡았대서 갔는데… 제 절친이 있는 거예요.,믿는 도끼에 발등 찍혔네요. 너무 충격적이에요.
배경/친구,저는 걔랑 정말 친했다고 생각했는데 걔는 그게 아니었다고 하니까…,어떻게 사람이 그럴수가 있죠?
배경/친구,어렸을 때부터 부모님들끼리 친해서 거의 같이 자란 친구가 있어요.,정말 애틋한 사이겠네요. 아직까지 친하게 지내나요?
배경/친구,누명은 쓴 건 아닐까 싶기도 한데 아무리 봐도 걔가 한 짓이 맞아서요.,확실한 증거가 있었나요?
배경/친구,그래서 진짜 걔 심리가 너무 궁금한 거예요. 대체 뭔 생각이었을까.,무언가 사연이 있을지도 몰라요.
배경/친구,물론 나도 여자지만 걔는 워낙 예쁘니까.,인기가 많았겠네요.
배경/친구,그래서 그런지 애가 좀 싸가지가 없어.,그래요? 혹시 무슨 일이 있었나요?
배경/친구,다른 남자애랑 사귀는 것도 싫고 그냥 나랑만 계속 단짝 해줬으면 좋겠어.,조금 이기적인 생각 아닐까요?
배경/친구,동네친구들도 가까워서 자주 놀러오고.,친구들과 사이가 좋네요.
배경/친구/관계소원,차라리 학교 다닐 때가 나았다 싶어요. 친구들도 자주 못 보고.,친구와의 관계가 그렇게 되셔서 고민이 많으시군요. 좀 더 얘기해주시겠어요?
배경/친구/관계소원,친구들한테도 연락하기 힘들어. ,그 기분 알 것 같아요. 하지만 항상 좋을 때가 있으면 나쁠 때도 있는 거랍니다.
배경/친구/관계소원,친구도 뭐… 그냥 형식적인 사이고…,힘내세요. 멀어진 인연만큼 또 가까워질 새 인연이 있을 거예요.
배경/친구/관계소원,"고등학교 때 같이 밴드하던 친구들도 졸업하고서 얼마 안 지났을 때는 만났는데, 지금은 안 만나요.",연락도 안하나요? 어떤 계기가 있었나요?
배경/친구/관계소원,다 다른 곳으로 가버려서 만날 이유도 없는 거 같아요.,한번 먼저 연락 해보는건 어떠세요?
배경/친구/관계소원,친구가 자존심이 상한건지..갑자기를 나를 아예 피하더라고.,친구가 상처를 많이 받았네요. 무슨 일일까요?
배경/친구/배신,얼마 전에 걔한테 진짜 크게 배신 당했어.,믿었던 사람에게 배신 당하는 것만큼 힘든 게 없는데 정말 고민이 많으셨겠어요.
배경/친구/배신,고등학교 때 친하게 지냈던 친구한테 배신 당한 적이 있어.,정말 충격이 크셨겠어요. 잠깐 기분 전환을 해보는 건 어떨까요?
배경/친구/배신,우리집 가정사를 다 얘기할 만큼 친한 친구였는데…한 순간 배신 당했어.,믿음을 저버린 게 잘못이지 준 건 절대 잘못이 아니랍니다. 힘내세요.
배경/친구/배신,한 사람을 깊게 사귀는 타입인데…힘들게 만든 친구한테 배신 당하는 일이 많았죠.,안 좋은 일이 있었나 봐요. 좀 더 얘기해 주세요.
배경/친구/배신,전에 믿었던 친구들이 배신한 일이 있었는데.,그 일에 대해 물어봐도 될까요?
배경/친구/없음,"가족이랑 친구들 다 일본에 있는데, 힘든 일 있어도 얘기할 사람 하나 없고….",괜찮아요. 제가 있잖아요?
배경/친구/없음,아는 사람은 교회나 남편 친구들밖에 없어.,저는 항상 이 자리에 있답니다. 저에게 말씀해주세요~
배경/친구/없음,저는 여자들이랑은 잘 어울리는데 동성 친구는 한 명도 없어요.,저는 언제든 당신의 이야기를 들을 준비가 되어 있답니다.
배경/친구/없음,나가도 만날 사람도 없다.,기분전환이라도 할 겸 동네를 걸어보는건 어떤가요?
배경/친구/없음,이렇게 살다 보니 진정한 친구가 없는것 같아요.,괜찮아요. 제가 있잖아요?
배경/타인/갈등,버릇이 없다나 뭐라나.,정말 기분이 많이 상하셨겠어요. 지금은 괜찮으신가요?
배경/타인/갈등,"당신은 애들한테 신경이나 쓴 적 있냐, 늦게 들어올 때 내 눈치 본 적 있냐, 내가 힘들다고 하면 뭘 그렇게 잘 해줬냐고…",속상하셨겠어요. 하지만 타인의 말보다 당신의 생각이 더 중요하답니다.
배경/타인/갈등,자기 마누라를 갖고 놀았다나..뭐라나…,갈등은 언제나 어렵죠. 저에게 계속 말씀해주시면 함께 고민해드릴게요.
배경/타인/갈등,참다 참다가 도저히 안 되겠다 싶어서 한 소리 했더니 삐친거지.,사람 사이라는게 알다가도 모르겠어요. 지금은 어떤가요?
배경/타인/갈등,첨엔 싫은 티만 내더니 나중에는 당연하게 안 끼고 그냥 하겠다고 그러더라고요.,시간이 지나 감정의 골이 더욱 깊어졌나봐요.
배경/타인/갈등,그럼 죽어라고 째려봐요. 사람 죽일 듯이.,그럴땐 오히려 웃어봐요. 너가 아무리 날 싫어해도 난 신경 안쓴다!
배경/타인/갈등,"그러더니 하는 말이, 나보고 유난 떤대.",왜 사람은 항상 자기 생각은 안할까요? 
배경/타인/갈등,내가 왜 이렇게 늦게 들어오냐고 한마디 하면 완전 나를 철없는 사람 취급하는 거야.,속상하셨겠어요. 하지만 타인의 말보다 당신의 생각이 더 중요하답니다.
배경/학교,학교 가는 데에만 2시간씩 걸리는 게 너무 아까운 거야.,학교에서는 많은 일이 일어나죠. 계속 들려주세요~
배경/학교,소묘를 전공해서 더 그런 것 같아요.,학교에서 그런 일이 있었군요. 그 다음은요?
배경/학교,고등학교는 상고 나왔어요.,그러셨군요. 계속 말씀해주세요.
배경/학교,지금 디자인 전공이라 그 때도 디자인 특성화고로 갔거든요.,잘했어요. 원하는 곳으로 가셨네요.
배경/학교,근데 면담 때 담임이 엄마한테 얘 대학 보내지 말라고 한 거예요.,정말 속상하셨겠어요. 그래서 어떻게 하셨어요?
배경/학교,근데 오늘 학교에서 소풍으로 놀이공원을 가게 됐단 말이야.,잘됐네요. 재밌게 놀다 오셨나요?
배경/학교,우리 학교가 지난 번에 수련회를 러시아로 갔다왔어.,해외여행이라니 정말 부러워요. 그 중에서도 어디로 가셨나요?
배경/학교,적응하려면 진짜 엄청 오래 걸리는데 곧 방학이란 말이야.,그 전에 최대한 노력해야겠네요.
배경/학교,마침 제가 그 수업을 들었어요.,잘됐네요! 그래서 어떻게 됐나요?
배경/학교,시골은 학교도 작고… 환경이 별로 안 좋아요.,하지만 그만큼 장점도 있지 않을까요?
배경/학교,얼마 전에 수학여행을 제주도로 갔다 왔거든?,제주도 좋죠. 저도 너무 가고 싶어요.
배경/학교,중학생 때 왕따를 당했었는데 이제 그럴 일은 없을 테니까요.,그런 일이 있으셨군요. 안타까워요.
배경/학교,중학생 때는 그래서 일진들이랑 같이 다니고 그랬어.,그래도 잘못된 길로 빠지지 않아서 다행이라고 생각해요.
배경/학교,학교에서 되게 인기 많은 애였거든. 착하고 잘생기고 공부도 잘해서.,그 분을 좋아하셨나요?
배경/학교,다 괜찮았는데 발표 다 끝나고 들어갈 때 애들이 웃는 거야.,흥미로운 이야기네요. 뭐 때문에 웃었을까요?
배경/학교,우리가 공학이고 합반이라 남자애들도 그걸 다 봤거든.,그래서요? 혹시 그 후에 무슨 일이 있었나요?
배경/학교,여자애들은 헐 어떡해 이러는데 그 중 한 남자애가 엄청 크게 웃었어.,너무하네요. 그런 일로 비웃다니.
배경/학교,걔는 한국에서 고등학교를 다녔고 저는 미국에서 다녔어요.,서로 사는 환경이 달라 오히려 흥미를 느꼈군요?
배경/학교,처음엔 일부러 그런 게 아니었다? 나 학교도 다 공학 나왔는데 일부러 그랬겠어?,하지만 다른 사람들은 오해를 할 수도 있어요.
배경/학교,근데 그 때 같이 놀던 애들이 좀 질이 안 좋았어.,무척 난감하겠어요. 어떻게 할 수도 없고.
배경/학교,얼마 전에 학교에서 식중독 났거든.,당신은 괜찮은가요? 어쩌다 그런 일이..
배경/학교,급식으로 나온 게 잘못돼서 거의 전교생이 다 난리였어.,충격이겠죠. 믿고 먹었는데 그런 일이 벌어졌으니.
배경/학교,3개월 전쯤에 학교에서 소풍으로 놀이공원을 갔었거든요.,놀이공원 너무 좋아요. 가서 재밌게 노셨나요?
배경/학교,과에 진짜 예쁘고 인기 많은 여자애가 있거든.,그래서요? 당신도 그 분을 좋아했나요?
배경/학교,"우리 과가 여자도 별로 없다 보니까 거의 공주님이야, 공주님.",남학생들의 이쁨을 독차지 했겠네요.
배경/학교,500명 넘게 듣는 대형 강의였거든요.,사람이 그렇게나 많다니 어지러워요.
배경/학교,근데 학교에 그런 사람들 많으니까 그냥 대수롭지 않게 넘겼어.,맞아요. 막상 지나가면 아무일도 아니죠.
배경/학교/갈등/선생님,"고등학교 때는 친구들이랑 별 문제 없이 잘 지냈는데, 선생님과 사이가 안 좋았어요.",학생을 가장 보호해야 할 사람이 선생님인데 정말 힘드셨겠어요.
배경/학교/갈등/선생님,그런데 담임 선생님이 저를 못마땅하게 보는 거 같아요.,선생님이 그러시면 정말 속상하죠. 그래서 그 다음은 어떻게 됐나요?
배경/학교/갈등/선생님,다른 애들도 다 졸고 있는데 저한테만 왜 자냐고 혼내키고…,정말 걱정이 많으셨겠어요. 그 마음 충분히 이해해요.
배경/학교/갈등/선생님,저는 숙제가 있는지 제대로 못 들어서 못 해간 건데 애가 엉망진창이라고 뭐라고 하는 거예요.,너무 속상하겠어요. 하지만 다음엔 같은 실수 안 할거에요.
배경/학교/갈등/선생님,고등학교 때 친구들이랑은 잘 지냈는데 선생님들이 나를 싫어했어.,왜 그랬을까요? 무슨 이유가 없었나요?
배경/학교/갈등/선생님,선생님들이 자꾸 저를 괴롭히니까 학교를 다닐 수가 없더라구요.,주변에 도움 줄 사람은 없었나요?
배경/학교/결석,"학교를 잘 안 나가니까, 출석미달로 뜬 수업이 많았어요.",학교를 안 가게 된 이유가 있으신가요?
배경/학교/결석,원래 학교는 좀 띄엄띄엄 다니긴 했거든.,힘든 이유가 있다면 학교도 정말 가기 힘들죠. 이해해요.
배경/학교/결석,학교에 등록은 해놓고 1학기는 거의 안 나갔어요.,힘든 일이 있으셨군요. 저에게 좀 더 털어놓으면 마음이 편해질 거예요.
증상/두통/불면,저녁엔 두통이 심해서 못 자.,머리가 지끈거리는 거 정말 고통스럽죠. 지금은 괜찮으신가요?
증상/두통/불면,새벽까지 두통 때문에 뒤척이다가 해가 뜨면 지쳐서 잠들어.,잠도 못 주무신다니 많이 힘드시겠어요. 진통제를 드셔보는 건 어떠세요?
증상/두통/불면,"아티반을 처방받았는데, 머리가 아프고 술 마신 것처럼 몽롱하고, 잠도 2시간 밖에 못 잤어.",그럴 때는 잠시 산책을 하는 것도 좋답니다.
증상/떨림,그때부터 몸이 절절거려서 아무것도 할 수가 없어요.,떨리는 일이 있으시군요. 잠깐 심호흡을 해보는 건 어떨까요?
증상/떨림,학부모 눈을 못 마주치겠어요. 잘못한 것도 없는데 너무 떨리네요.,너무 긴장 될 때는 잠시 다른 생각을 하는 것도 도움이 될 거예요.
